"Tiempo (s) Run #1,""Voltaje (V) Run #1"",""Tiempo (s) Run #2"",""Voltaje (V) Run #2"",""Tiempo (s) Run #3"",""Voltaje (V) Run #3"",""Tiempo (s) Run #4"",""Voltaje (V) Run #4"""
,,1054.000,0.003,,,,
,,1054.100,0.004,,,,
,,1054.200,0.003,,,,
,,1054.300,0.003,,,,
,,1054.400,0.004,,,,
,,1054.500,0.003,,,,
,,1054.600,0.004,,,,
,,1054.700,0.003,,,,
,,1054.800,0.002,,,,
,,1054.900,0.004,,,,
,,1055.000,0.002,,,,
,,1055.100,0.002,,,,
,,1055.200,0.002,,,,
,,1055.300,0.003,,,,
,,1055.400,0.002,,,,
,,1055.500,0.001,,,,
,,1055.600,0.002,,,,
,,1055.700,0.002,,,,
,,1055.800,0.002,,,,
,,1055.900,0.002,,,,
,,1056.000,0.002,,,,
,,1056.100,0.001,,,,
,,1056.200,0.001,,,,
,,1056.300,6.104E-4,,,,
,,1056.400,0.001,,,,
,,1056.500,0.001,,,,
,,1056.600,0.001,,,,
,,1056.700,0.001,,,,
,,1056.800,6.104E-4,,,,
,,1056.900,0.000,,,,
,,1057.000,0.000,,,,
,,1057.100,6.104E-4,,,,
,,1057.200,0.000,,,,
,,1057.300,0.000,,,,
,,1057.400,6.104E-4,,,,
,,1057.500,6.104E-4,,,,
,,1057.600,6.104E-4,,,,
,,1057.700,0.000,,,,
,,1057.800,6.104E-4,,,,
,,1057.900,0.000,,,,
,,1058.000,0.000,,,,
,,1058.100,0.000,,,,
,,1058.200,0.000,,,,
,,1058.300,0.000,,,,
,,1058.400,6.104E-4,,,,
,,1058.500,0.000,,,,
,,1058.600,0.000,,,,
,,1058.700,0.000,,,,
,,1058.800,0.000,,,,
,,1058.900,0.000,,,,
,,1059.000,0.000,,,,
,,1059.100,0.000,,,,
,,1059.200,0.000,,,,
,,1059.300,0.000,,,,
,,1059.400,0.000,,,,
,,1059.500,0.000,,,,
,,1059.600,0.000,,,,
,,1059.700,0.000,,,,
,,1059.800,0.000,,,,
,,1059.900,0.000,,,,
,,1060.000,0.000,,,,
,,1060.100,0.000,,,,
,,1060.200,0.000,,,,
,,1060.300,0.000,,,,
,,1060.400,0.000,,,,
,,1060.500,0.000,,,,
,,1060.600,0.000,,,,
,,1060.700,0.000,,,,
,,1060.800,0.000,,,,
,,1060.900,0.000,,,,
,,1061.000,0.000,,,,
,,1061.100,0.000,,,,
,,1061.200,0.000,,,,
,,1061.300,0.000,,,,
,,1061.400,0.000,,,,
,,1061.500,0.000,,,,
,,1061.600,0.000,,,,
,,1061.700,0.000,,,,
,,1061.800,0.000,,,,
,,1061.900,0.000,,,,
,,1062.000,0.000,,,,
,,1062.100,0.000,,,,
,,1062.200,0.000,,,,
,,1062.300,0.000,,,,
,,1062.400,0.000,,,,
,,1062.500,-6.104E-4,,,,
,,1062.600,0.000,,,,
,,1062.700,0.000,,,,
,,1062.800,0.000,,,,
,,1062.900,0.000,,,,
,,1063.000,0.000,,,,
,,1063.100,0.000,,,,
,,1063.200,0.000,,,,
,,1063.300,0.000,,,,
,,1063.400,-6.104E-4,,,,
,,1063.500,-0.001,,,,
,,1063.600,-0.001,,,,
,,1063.700,0.000,,,,
,,1063.800,0.000,,,,
,,1063.900,0.000,,,,
,,1064.000,-0.002,,,,
,,1064.100,0.000,,,,
,,1064.200,-6.104E-4,,,,
,,1064.300,-6.104E-4,,,,
,,1064.400,-0.002,,,,
,,1064.500,-6.104E-4,,,,
,,1064.600,-0.001,,,,
,,1064.700,-0.001,,,,
,,1064.800,-0.003,,,,
,,1064.900,-0.001,,,,
,,1065.000,-6.104E-4,,,,
,,1065.100,-0.001,,,,
,,1065.200,-0.002,,,,
,,1065.300,-0.003,,,,
,,1065.400,-0.002,,,,
,,1065.500,-0.003,,,,
,,1065.600,-0.002,,,,
,,1065.700,-0.003,,,,
,,1065.800,-0.002,,,,
,,1065.900,-0.002,,,,
,,1066.000,-0.002,,,,
,,1066.100,-0.003,,,,
,,1066.200,-0.002,,,,
,,1066.300,-0.003,,,,
,,1066.400,-0.004,,,,
,,1066.500,-0.005,,,,
,,1066.600,-0.004,,,,
,,1066.700,-0.003,,,,
,,1066.800,-0.005,,,,
,,1066.900,-0.004,,,,
,,1067.000,-0.002,,,,
,,1067.100,-0.005,,,,
,,1067.200,-0.005,,,,
,,1067.300,-0.004,,,,
,,1067.400,-0.005,,,,
,,1067.500,-0.005,,,,
,,1067.600,-0.005,,,,
,,1067.700,-0.006,,,,
,,1067.800,-0.005,,,,
,,1067.900,-0.004,,,,
,,1068.000,-0.005,,,,
,,1068.100,-0.005,,,,
,,1068.200,-0.005,,,,
,,1068.300,-0.005,,,,
,,1068.400,-0.006,,,,
,,1068.500,-0.005,,,,
,,1068.600,-0.006,,,,
,,1068.700,-0.005,,,,
,,1068.800,-0.005,,,,
,,1068.900,-0.005,,,,
,,1069.000,-0.005,,,,
,,1069.100,-0.005,,,,
,,1069.200,-0.007,,,,
,,1069.300,-0.006,,,,
,,1069.400,-0.006,,,,
,,1069.500,-0.007,,,,
,,1069.600,-0.007,,,,
,,1069.700,-0.007,,,,
,,1069.800,-0.007,,,,
,,1069.900,-0.008,,,,
,,1070.000,-0.007,,,,
,,1070.100,-0.007,,,,
,,1070.200,-0.007,,,,
,,1070.300,-0.008,,,,
,,1070.400,-0.007,,,,
,,1070.500,-0.007,,,,
,,1070.600,-0.007,,,,
,,1070.700,-0.007,,,,
,,1070.800,-0.007,,,,
,,1070.900,-0.007,,,,
,,1071.000,-0.008,,,,
,,1071.100,-0.006,,,,
,,1071.200,-0.007,,,,
,,1071.300,-0.007,,,,
,,1071.400,-0.007,,,,
,,1071.500,-0.008,,,,
,,1071.600,-0.007,,,,
,,1071.700,-0.009,,,,
,,1071.800,-0.007,,,,
,,1071.900,-0.009,,,,
,,1072.000,-0.009,,,,
,,1072.100,-0.009,,,,
,,1072.200,-0.009,,,,
,,1072.300,-0.009,,,,
,,1072.400,-0.009,,,,
,,1072.500,-0.009,,,,
,,1072.600,-0.009,,,,
,,1072.700,-0.009,,,,
,,1072.800,-0.009,,,,
,,1072.900,-0.009,,,,
,,1073.000,-0.009,,,,
,,1073.100,-0.009,,,,
,,1073.200,-0.009,,,,
,,1073.300,-0.008,,,,
,,1073.400,-0.009,,,,
,,1073.500,-0.009,,,,
,,1073.600,-0.009,,,,
,,1073.700,-0.009,,,,
,,1073.800,-0.009,,,,
,,1073.900,-0.009,,,,
,,1074.000,-0.008,,,,
,,1074.100,-0.009,,,,
,,1074.200,-0.009,,,,
,,1074.300,-0.009,,,,
,,1074.400,-0.009,,,,
,,1074.500,-0.009,,,,
,,1074.600,-0.009,,,,
,,1074.700,-0.009,,,,
,,1074.800,-0.010,,,,
,,1074.900,-0.009,,,,
,,1075.000,-0.008,,,,
,,1075.100,-0.009,,,,
,,1075.200,-0.009,,,,
,,1075.300,-0.010,,,,
,,1075.400,-0.009,,,,
,,1075.500,-0.009,,,,
,,1075.600,-0.010,,,,
,,1075.700,-0.009,,,,
,,1075.800,-0.010,,,,
,,1075.900,-0.010,,,,
,,1076.000,-0.010,,,,
,,1076.100,-0.009,,,,
,,1076.200,-0.009,,,,
,,1076.300,-0.010,,,,
,,1076.400,-0.010,,,,
,,1076.500,-0.009,,,,
,,1076.600,-0.010,,,,
,,1076.700,-0.010,,,,
,,1076.800,-0.010,,,,
,,1076.900,-0.010,,,,
,,1077.000,-0.010,,,,
,,1077.100,-0.010,,,,
,,1077.200,-0.010,,,,
,,1077.300,-0.010,,,,
,,1077.400,-0.010,,,,
,,1077.500,-0.010,,,,
,,1077.600,-0.010,,,,
,,1077.700,-0.010,,,,
,,1077.800,-0.010,,,,
,,1077.900,-0.010,,,,
,,1078.000,-0.010,,,,
,,1078.100,-0.010,,,,
,,1078.200,-0.010,,,,
,,1078.300,-0.010,,,,
,,1078.400,-0.010,,,,
,,1078.500,-0.010,,,,
,,1078.600,-0.010,,,,
,,1078.700,-0.010,,,,
,,1078.800,-0.010,,,,
,,1078.900,-0.010,,,,
,,1079.000,-0.010,,,,
,,1079.100,-0.010,,,,
,,1079.200,-0.010,,,,
,,1079.300,-0.010,,,,
,,1079.400,-0.010,,,,
,,1079.500,-0.010,,,,
,,1079.600,-0.010,,,,
,,1079.700,-0.010,,,,
,,1079.800,-0.010,,,,
,,1079.900,-0.010,,,,
,,1080.000,-0.010,,,,
,,1080.100,-0.010,,,,
,,1080.200,-0.010,,,,
,,1080.300,-0.010,,,,
,,1080.400,-0.010,,,,
,,1080.500,-0.010,,,,
,,1080.600,-0.010,,,,
,,1080.700,-0.010,,,,
,,1080.800,-0.010,,,,
,,1080.900,-0.010,,,,
,,1081.000,-0.010,,,,
,,1081.100,-0.010,,,,
,,1081.200,-0.010,,,,
,,1081.300,-0.010,,,,
,,1081.400,-0.010,,,,
,,1081.500,-0.010,,,,
,,1081.600,-0.009,,,,
,,1081.700,-0.010,,,,
,,1081.800,-0.010,,,,
,,1081.900,-0.010,,,,
,,1082.000,-0.010,,,,
,,1082.100,-0.010,,,,
,,1082.200,-0.010,,,,
,,1082.300,-0.010,,,,
,,1082.400,-0.010,,,,
,,1082.500,-0.010,,,,
,,1082.600,-0.010,,,,
,,1082.700,-0.010,,,,
,,1082.800,-0.010,,,,
,,1082.900,-0.010,,,,
,,1083.000,-0.010,,,,
,,1083.100,-0.009,,,,
,,1083.200,-0.009,,,,
,,1083.300,-0.010,,,,
,,1083.400,-0.010,,,,
,,1083.500,-0.009,,,,
,,1083.600,-0.010,,,,
,,1083.700,-0.010,,,,
,,1083.800,-0.010,,,,
,,1083.900,-0.010,,,,
,,1084.000,-0.010,,,,
,,1084.100,-0.010,,,,
,,1084.200,-0.010,,,,
,,1084.300,-0.010,,,,
,,1084.400,-0.010,,,,
,,1084.500,-0.010,,,,
,,1084.600,-0.010,,,,
,,1084.700,-0.010,,,,
,,1084.800,-0.010,,,,
,,1084.900,-0.010,,,,
,,1085.000,-0.010,,,,
,,1085.100,-0.010,,,,
,,1085.200,-0.010,,,,
,,1085.300,-0.010,,,,
,,1085.400,-0.010,,,,
,,1085.500,-0.010,,,,
,,1085.600,-0.010,,,,
,,1085.700,-0.010,,,,
,,1085.800,-0.009,,,,
,,1085.900,-0.010,,,,
,,1086.000,-0.010,,,,
,,1086.100,-0.010,,,,
,,1086.200,-0.010,,,,
,,1086.300,-0.010,,,,
,,1086.400,-0.010,,,,
,,1086.500,-0.010,,,,
,,1086.600,-0.010,,,,
,,1086.700,-0.010,,,,
,,1086.800,-0.010,,,,
,,1086.900,-0.010,,,,
,,1087.000,-0.010,,,,
,,1087.100,-0.010,,,,
,,1087.200,-0.010,,,,
,,1087.300,-0.010,,,,
,,1087.400,-0.010,,,,
,,1087.500,-0.010,,,,
,,1087.600,-0.010,,,,
,,1087.700,-0.010,,,,
,,1087.800,-0.010,,,,
,,1087.900,-0.010,,,,
,,1088.000,-0.010,,,,
,,1088.100,-0.010,,,,
,,1088.200,-0.010,,,,
,,1088.300,-0.010,,,,
,,1088.400,-0.010,,,,
,,1088.500,-0.010,,,,
,,1088.600,-0.010,,,,
,,1088.700,-0.009,,,,
,,1088.800,-0.010,,,,
,,1088.900,-0.010,,,,
,,1089.000,-0.010,,,,
,,1089.100,-0.010,,,,
,,1089.200,-0.010,,,,
,,1089.300,-0.010,,,,
,,1089.400,-0.010,,,,
,,1089.500,-0.010,,,,
,,1089.600,-0.010,,,,
,,1089.700,-0.010,,,,
,,1089.800,-0.010,,,,
,,1089.900,-0.010,,,,
,,1090.000,-0.010,,,,
,,1090.100,-0.010,,,,
,,1090.200,-0.010,,,,
,,1090.300,-0.010,,,,
,,1090.400,-0.010,,,,
,,1090.500,-0.010,,,,
,,1090.600,-0.010,,,,
,,1090.700,-0.010,,,,
,,1090.800,-0.010,,,,
,,1090.900,-0.010,,,,
,,1091.000,-0.010,,,,
,,1091.100,-0.010,,,,
,,1091.200,-0.010,,,,
,,1091.300,-0.010,,,,
,,1091.400,-0.010,,,,
,,1091.500,-0.010,,,,
,,1091.600,-0.010,,,,
,,1091.700,-0.010,,,,
,,1091.800,-0.010,,,,
,,1091.900,-0.010,,,,
,,1092.000,-0.009,,,,
,,1092.100,-0.010,,,,
,,1092.200,-0.010,,,,
,,1092.300,-0.010,,,,
,,1092.400,-0.010,,,,
,,1092.500,-0.010,,,,
,,1092.600,-0.010,,,,
,,1092.700,-0.010,,,,
,,1092.800,-0.010,,,,
,,1092.900,-0.010,,,,
,,1093.000,-0.010,,,,
,,1093.100,-0.010,,,,
,,1093.200,-0.010,,,,
,,1093.300,-0.010,,,,
,,1093.400,-0.010,,,,
,,1093.500,-0.009,,,,
,,1093.600,-0.010,,,,
,,1093.700,-0.009,,,,
,,1093.800,-0.010,,,,
,,1093.900,-0.009,,,,
,,1094.000,-0.010,,,,
,,1094.100,-0.009,,,,
,,1094.200,-0.009,,,,
,,1094.300,-0.009,,,,
,,1094.400,-0.009,,,,
,,1094.500,-0.010,,,,
,,1094.600,-0.009,,,,
,,1094.700,-0.008,,,,
,,1094.800,-0.007,,,,
,,1094.900,-0.008,,,,
,,1095.000,-0.008,,,,
,,1095.100,-0.007,,,,
,,1095.200,-0.006,,,,
,,1095.300,-0.004,,,,
,,1095.400,-0.005,,,,
,,1095.500,-0.005,,,,
,,1095.600,-0.003,,,,
,,1095.700,-0.002,,,,
,,1095.800,0.000,,,,
,,1095.900,0.000,,,,
,,1096.000,0.000,,,,
,,1096.100,0.000,,,,
,,1096.200,0.000,,,,
,,1096.300,0.000,,,,
,,1096.400,6.104E-4,,,,
,,1096.500,0.000,,,,
,,1096.600,6.104E-4,,,,
,,1096.700,0.001,,,,
,,1096.800,0.002,,,,
,,1096.900,0.003,,,,
,,1097.000,0.004,,,,
,,1097.100,0.005,,,,
,,1097.200,0.005,,,,
,,1097.300,0.005,,,,
,,1097.400,0.005,,,,
,,1097.500,0.006,,,,
,,1097.600,0.007,,,,
,,1097.700,0.008,,,,
,,1097.800,0.008,,,,
,,1097.900,0.009,,,,
,,1098.000,0.009,,,,
,,1098.100,0.010,,,,
,,1098.200,0.010,,,,
,,1098.300,0.010,,,,
,,1098.400,0.010,,,,
,,1098.500,0.010,,,,
,,1098.600,0.010,,,,
,,1098.700,0.010,,,,
,,1098.800,0.011,,,,
,,1098.900,0.012,,,,
,,1099.000,0.012,,,,
,,1099.100,0.013,,,,
,,1099.200,0.012,,,,
,,1099.300,0.013,,,,
,,1099.400,0.013,,,,
,,1099.500,0.014,,,,
,,1099.600,0.014,,,,
,,1099.700,0.013,,,,
,,1099.800,0.014,,,,
,,1099.900,0.015,,,,
,,1100.000,0.015,,,,
,,1100.100,0.014,,,,
,,1100.200,0.015,,,,
,,1100.300,0.015,,,,
,,1100.400,0.015,,,,
,,1100.500,0.015,,,,
,,1100.600,0.015,,,,
,,1100.700,0.015,,,,
,,1100.800,0.015,,,,
,,1100.900,0.015,,,,
,,1101.000,0.015,,,,
,,1101.100,0.016,,,,
,,1101.200,0.016,,,,
,,1101.300,0.015,,,,
,,1101.400,0.016,,,,
,,1101.500,0.016,,,,
,,1101.600,0.015,,,,
,,1101.700,0.016,,,,
,,1101.800,0.015,,,,
,,1101.900,0.016,,,,
,,1102.000,0.017,,,,
,,1102.100,0.016,,,,
,,1102.200,0.018,,,,
,,1102.300,0.017,,,,
,,1102.400,0.016,,,,
,,1102.500,0.016,,,,
,,1102.600,0.018,,,,
,,1102.700,0.016,,,,
,,1102.800,0.016,,,,
,,1102.900,0.017,,,,
,,1103.000,0.016,,,,
,,1103.100,0.018,,,,
,,1103.200,0.018,,,,
,,1103.300,0.017,,,,
,,1103.400,0.017,,,,
,,1103.500,0.016,,,,
,,1103.600,0.018,,,,
,,1103.700,0.016,,,,
,,1103.800,0.017,,,,
,,1103.900,0.017,,,,
,,1104.000,0.017,,,,
,,1104.100,0.017,,,,
,,1104.200,0.017,,,,
,,1104.300,0.017,,,,
,,1104.400,0.016,,,,
,,1104.500,0.017,,,,
,,1104.600,0.016,,,,
,,1104.700,0.017,,,,
,,1104.800,0.017,,,,
,,1104.900,0.016,,,,
,,1105.000,0.018,,,,
,,1105.100,0.017,,,,
,,1105.200,0.018,,,,
,,1105.300,0.017,,,,
,,1105.400,0.017,,,,
,,1105.500,0.017,,,,
,,1105.600,0.017,,,,
,,1105.700,0.018,,,,
,,1105.800,0.017,,,,
,,1105.900,0.016,,,,
,,1106.000,0.017,,,,
,,1106.100,0.016,,,,
,,1106.200,0.016,,,,
,,1106.300,0.016,,,,
,,1106.400,0.017,,,,
,,1106.500,0.016,,,,
,,1106.600,0.016,,,,
,,1106.700,0.017,,,,
,,1106.800,0.018,,,,
,,1106.900,0.016,,,,
,,1107.000,0.015,,,,
,,1107.100,0.016,,,,
,,1107.200,0.017,,,,
,,1107.300,0.016,,,,
,,1107.400,0.016,,,,
,,1107.500,0.016,,,,
,,1107.600,0.015,,,,
,,1107.700,0.015,,,,
,,1107.800,0.016,,,,
,,1107.900,0.016,,,,
,,1108.000,0.015,,,,
,,1108.100,0.015,,,,
,,1108.200,0.015,,,,
,,1108.300,0.015,,,,
,,1108.400,0.015,,,,
,,1108.500,0.015,,,,
,,1108.600,0.015,,,,
,,1108.700,0.015,,,,
,,1108.800,0.015,,,,
,,1108.900,0.015,,,,
,,1109.000,0.015,,,,
,,1109.100,0.015,,,,
,,1109.200,0.014,,,,
,,1109.300,0.015,,,,
,,1109.400,0.015,,,,
,,1109.500,0.015,,,,
,,1109.600,0.015,,,,
,,1109.700,0.015,,,,
,,1109.800,0.015,,,,
,,1109.900,0.014,,,,
,,1110.000,0.015,,,,
,,1110.100,0.015,,,,
,,1110.200,0.015,,,,
,,1110.300,0.014,,,,
,,1110.400,0.015,,,,
,,1110.500,0.015,,,,
,,1110.600,0.015,,,,
,,1110.700,0.014,,,,
,,1110.800,0.014,,,,
,,1110.900,0.013,,,,
,,1111.000,0.015,,,,
,,1111.100,0.014,,,,
,,1111.200,0.014,,,,
,,1111.300,0.013,,,,
,,1111.400,0.013,,,,
,,1111.500,0.013,,,,
,,1111.600,0.013,,,,
,,1111.700,0.014,,,,
,,1111.800,0.012,,,,
,,1111.900,0.012,,,,
,,1112.000,0.013,,,,
,,1112.100,0.012,,,,
,,1112.200,0.012,,,,
,,1112.300,0.012,,,,
,,1112.400,0.012,,,,
,,1112.500,0.011,,,,
,,1112.600,0.012,,,,
,,1112.700,0.011,,,,
,,1112.800,0.010,,,,
,,1112.900,0.010,,,,
,,1113.000,0.010,,,,
,,1113.100,0.011,,,,
,,1113.200,0.010,,,,
,,1113.300,0.011,,,,
,,1113.400,0.010,,,,
,,1113.500,0.010,,,,
,,1113.600,0.010,,,,
,,1113.700,0.010,,,,
,,1113.800,0.010,,,,
,,1113.900,0.010,,,,
,,1114.000,0.010,,,,
,,1114.100,0.010,,,,
,,1114.200,0.010,,,,
,,1114.300,0.010,,,,
,,1114.400,0.010,,,,
,,1114.500,0.010,,,,
,,1114.600,0.010,,,,
,,1114.700,0.010,,,,
,,1114.800,0.010,,,,
,,1114.900,0.010,,,,
,,1115.000,0.010,,,,
,,1115.100,0.010,,,,
,,1115.200,0.010,,,,
,,1115.300,0.010,,,,
,,1115.400,0.010,,,,
,,1115.500,0.010,,,,
,,1115.600,0.010,,,,
,,1115.700,0.010,,,,
,,1115.800,0.009,,,,
,,1115.900,0.010,,,,
,,1116.000,0.010,,,,
,,1116.100,0.010,,,,
,,1116.200,0.010,,,,
,,1116.300,0.010,,,,
,,1116.400,0.010,,,,
,,1116.500,0.009,,,,
,,1116.600,0.010,,,,
,,1116.700,0.009,,,,
,,1116.800,0.009,,,,
,,1116.900,0.009,,,,
,,1117.000,0.009,,,,
,,1117.100,0.009,,,,
,,1117.200,0.009,,,,
,,1117.300,0.009,,,,
,,1117.400,0.009,,,,
,,1117.500,0.009,,,,
,,1117.600,0.009,,,,
,,1117.700,0.009,,,,
,,1117.800,0.009,,,,
,,1117.900,0.008,,,,
,,1118.000,0.009,,,,
,,1118.100,0.009,,,,
,,1118.200,0.007,,,,
,,1118.300,0.006,,,,
,,1118.400,0.007,,,,
,,1118.500,0.007,,,,
,,1118.600,0.007,,,,
,,1118.700,0.007,,,,
,,1118.800,0.006,,,,
,,1118.900,0.005,,,,
,,1119.000,0.007,,,,
,,1119.100,0.006,,,,
,,1119.200,0.007,,,,
,,1119.300,0.007,,,,
,,1119.400,0.005,,,,
,,1119.500,0.006,,,,
,,1119.600,0.006,,,,
,,1119.700,0.006,,,,
,,1119.800,0.005,,,,
,,1119.900,0.005,,,,
,,1120.000,0.005,,,,
,,1120.100,0.005,,,,
,,1120.200,0.005,,,,
,,1120.300,0.005,,,,
,,1120.400,0.005,,,,
,,1120.500,0.005,,,,
,,1120.600,0.005,,,,
,,1120.700,0.005,,,,
,,1120.800,0.005,,,,
,,1120.900,0.005,,,,
,,1121.000,0.005,,,,
,,1121.100,0.005,,,,
,,1121.200,0.004,,,,
,,1121.300,0.005,,,,
,,1121.400,0.005,,,,
,,1121.500,0.005,,,,
,,1121.600,0.005,,,,
,,1121.700,0.005,,,,
,,1121.800,0.005,,,,
,,1121.900,0.004,,,,
,,1122.000,0.005,,,,
,,1122.100,0.005,,,,
,,1122.200,0.005,,,,
,,1122.300,0.005,,,,
,,1122.400,0.005,,,,
,,1122.500,0.005,,,,
,,1122.600,0.005,,,,
,,1122.700,0.004,,,,
,,1122.800,0.005,,,,
,,1122.900,0.005,,,,
,,1123.000,0.004,,,,
,,1123.100,0.005,,,,
,,1123.200,0.005,,,,
,,1123.300,0.004,,,,
,,1123.400,0.004,,,,
,,1123.500,0.005,,,,
,,1123.600,0.005,,,,
,,1123.700,0.004,,,,
,,1123.800,0.005,,,,
,,1123.900,0.004,,,,
,,1124.000,0.004,,,,
,,1124.100,0.005,,,,
,,1124.200,0.005,,,,
,,1124.300,0.004,,,,
,,1124.400,0.004,,,,
,,1124.500,0.004,,,,
,,1124.600,0.005,,,,
,,1124.700,0.004,,,,
,,1124.800,0.004,,,,
,,1124.900,0.005,,,,
,,1125.000,0.004,,,,
,,1125.100,0.004,,,,
,,1125.200,0.005,,,,
,,1125.300,0.003,,,,
,,1125.400,0.004,,,,
,,1125.500,0.004,,,,
,,1125.600,0.004,,,,
,,1125.700,0.004,,,,
,,1125.800,0.004,,,,
,,1125.900,0.004,,,,
,,1126.000,0.002,,,,
,,1126.100,0.004,,,,
,,1126.200,0.004,,,,
,,1126.300,0.004,,,,
,,1126.400,0.004,,,,
,,1126.500,0.005,,,,
,,1126.600,0.002,,,,
,,1126.700,0.003,,,,
,,1126.800,0.003,,,,
,,1126.900,0.004,,,,
,,1127.000,0.004,,,,
,,1127.100,-0.009,,,,
,,1127.200,-0.029,,,,
,,1127.300,-0.029,,,,
,,1127.400,-0.027,,,,
,,1127.500,-0.027,,,,
,,1127.600,-0.025,,,,
,,1127.700,-0.024,,,,
,,1127.800,-0.023,,,,
,,1127.900,-0.022,,,,
,,1128.000,-0.024,,,,
,,1128.100,-0.027,,,,
,,1128.200,-0.031,,,,
,,1128.300,-0.036,,,,
,,1128.400,-0.034,,,,
,,1128.500,-0.034,,,,
,,1128.600,-0.033,,,,
,,1128.700,-0.031,,,,
,,1128.800,-0.028,,,,
,,1128.900,-0.027,,,,
,,1129.000,-0.024,,,,
,,1129.100,-0.022,,,,
,,1129.200,-0.018,,,,
,,1129.300,-0.013,,,,
,,1129.400,-0.010,,,,
,,1129.500,-0.010,,,,
,,1129.600,0.000,,,,
,,1129.700,6.104E-4,,,,
,,1129.800,0.000,,,,
,,1129.900,0.002,,,,
,,1130.000,0.003,,,,
,,1130.100,0.005,,,,
,,1130.200,0.005,,,,
,,1130.300,0.006,,,,
,,1130.400,0.006,,,,
,,1130.500,0.006,,,,
,,1130.600,0.009,,,,
,,1130.700,0.005,,,,
,,1130.800,0.006,,,,
,,1130.900,0.009,,,,
,,1131.000,0.010,,,,
,,1131.100,0.010,,,,
,,1131.200,0.010,,,,
,,1131.300,0.012,,,,
,,1131.400,0.010,,,,
,,1131.500,0.010,,,,
,,1131.600,0.010,,,,
,,1131.700,0.010,,,,
,,1131.800,0.010,,,,
,,1131.900,0.011,,,,
,,1132.000,0.013,,,,
,,1132.100,0.016,,,,
,,1132.200,0.012,,,,
,,1132.300,0.015,,,,
,,1132.400,0.015,,,,
,,1132.500,0.012,,,,
,,1132.600,0.016,,,,
,,1132.700,0.016,,,,
,,1132.800,0.015,,,,
,,1132.900,0.018,,,,
,,1133.000,0.020,,,,
,,1133.100,0.020,,,,
,,1133.200,0.021,,,,
,,1133.300,0.021,,,,
,,1133.400,0.019,,,,
,,1133.500,0.020,,,,
,,1133.600,0.008,,,,
,,1133.700,0.009,,,,
,,1133.800,0.005,,,,
,,1133.900,0.007,,,,
,,1134.000,0.008,,,,
,,1134.100,0.004,,,,
,,1134.200,0.005,,,,
,,1134.300,6.104E-4,,,,
,,1134.400,-0.010,,,,
,,1134.500,0.001,,,,
,,1134.600,0.004,,,,
,,1134.700,-0.002,,,,
,,1134.800,0.004,,,,
,,1134.900,0.004,,,,
,,1135.000,6.104E-4,,,,
,,1135.100,0.001,,,,
,,1135.200,0.004,,,,
,,1135.300,0.033,,,,
,,1135.400,0.005,,,,
,,1135.500,0.009,,,,
,,1135.600,0.014,,,,
,,1135.700,0.084,,,,
,,1135.800,0.021,,,,
,,1135.900,0.020,,,,
,,1136.000,0.101,,,,
,,1136.100,0.099,,,,
,,1136.200,0.010,,,,
,,1136.300,0.011,,,,
,,1136.400,0.013,,,,
,,1136.500,0.017,,,,
,,1136.600,0.090,,,,
,,1136.700,0.099,,,,
,,1136.800,0.096,,,,
,,1136.900,0.101,,,,
,,1137.000,0.011,,,,
,,1137.100,0.019,,,,
,,1137.200,0.013,,,,
,,1137.300,0.016,,,,
,,1137.400,0.019,,,,
,,1137.500,0.093,,,,
,,1137.600,0.020,,,,
,,1137.700,0.020,,,,
,,1137.800,0.023,,,,
,,1137.900,0.023,,,,
,,1138.000,0.022,,,,
,,1138.100,0.024,,,,
,,1138.200,-0.119,,,,
,,1138.300,-0.124,,,,
,,1138.400,-0.123,,,,
,,1138.500,-0.125,,,,
,,1138.600,-0.125,,,,
,,1138.700,0.000,,,,
,,1138.800,0.000,,,,
,,1138.900,0.000,,,,
,,1139.000,0.000,,,,
,,1139.100,0.000,,,,
,,1139.200,0.000,,,,
,,1139.300,0.000,,,,
,,1139.400,0.000,,,,
,,1139.500,0.000,,,,
,,1139.600,6.104E-4,,,,
,,1139.700,0.000,,,,
,,1139.800,0.000,,,,
,,1139.900,0.000,,,,
,,1140.000,0.000,,,,
,,1140.100,0.000,,,,
,,1140.200,0.000,,,,
,,1140.300,0.000,,,,
,,1140.400,0.000,,,,
,,1140.500,0.000,,,,
,,1140.600,0.000,,,,
,,1140.700,0.000,,,,
,,1140.800,0.000,,,,
,,1140.900,0.000,,,,
,,1141.000,0.000,,,,
,,1141.100,0.000,,,,
,,1141.200,0.000,,,,
,,1141.300,0.000,,,,
,,1141.400,0.000,,,,
,,1141.500,0.000,,,,
,,1141.600,-6.104E-4,,,,
,,1141.700,0.000,,,,
,,1141.800,0.000,,,,
,,1141.900,0.000,,,,
,,1142.000,0.000,,,,
,,1142.100,0.000,,,,
,,1142.200,0.000,,,,
,,1142.300,0.000,,,,
,,1142.400,0.000,,,,
,,1142.500,0.000,,,,
,,1142.600,0.000,,,,
,,1142.700,0.000,,,,
,,1142.800,0.000,,,,
,,1142.900,0.000,,,,
,,1143.000,0.000,,,,
,,1143.100,0.000,,,,
,,1143.200,0.000,,,,
,,1143.300,0.000,,,,
,,1143.400,0.000,,,,
,,1143.500,0.000,,,,
,,1143.600,-6.104E-4,,,,
