"Tiempo (s) Run #1,""Voltaje (V) Run #1"",""Tiempo (s) Run #2"",""Voltaje (V) Run #2"",""Tiempo (s) Run #3"",""Voltaje (V) Run #3"",""Tiempo (s) Run #4"",""Voltaje (V) Run #4"""
4.550,6.104E-4,9.100,-0.011,9.100,0.024,9.100,0.034
4.600,0.002,9.200,-0.011,9.200,0.024,9.200,0.034
4.650,6.104E-4,9.300,-0.013,9.300,0.023,9.300,0.033
4.700,0.001,9.400,-0.012,9.400,0.024,9.400,0.034
4.750,0.000,9.500,-0.015,9.500,0.023,9.500,0.034
4.800,6.104E-4,9.600,-0.015,9.600,0.024,9.600,0.034
4.850,0.000,9.700,-0.015,9.700,0.023,9.700,0.033
4.900,0.001,9.800,-0.015,9.800,0.023,9.800,0.034
4.950,0.001,9.900,-0.015,9.900,0.023,9.900,0.032
5.000,6.104E-4,10.000,-0.014,10.000,0.024,10.000,0.033
5.050,0.001,10.100,-0.014,10.100,0.023,10.100,0.033
5.100,0.002,10.200,-0.013,10.200,0.023,10.200,0.034
5.150,0.001,10.300,-0.014,10.300,0.023,10.300,0.034
5.200,0.002,10.400,-0.014,10.400,0.023,10.400,0.032
5.250,0.000,10.500,-0.014,10.500,0.023,10.500,0.032
5.300,0.002,10.600,-0.013,10.600,0.022,10.600,0.033
5.350,0.001,10.700,-0.013,10.700,0.023,10.700,0.032
5.400,0.002,10.800,-0.013,10.800,0.023,10.800,0.034
5.450,0.002,10.900,-0.013,10.900,0.023,10.900,0.032
5.500,0.002,11.000,-0.012,11.000,0.021,11.000,0.032
5.550,0.002,11.100,-0.014,11.100,0.023,11.100,0.034
5.600,0.002,11.200,-0.013,11.200,0.023,11.200,0.032
5.650,0.001,11.300,-0.015,11.300,0.022,11.300,0.031
5.700,0.004,11.400,-0.015,11.400,0.022,11.400,0.032
5.750,0.003,11.500,-0.016,11.500,0.023,11.500,0.032
5.800,0.002,11.600,-0.017,11.600,0.022,11.600,0.031
5.850,0.002,11.700,-0.017,11.700,0.022,11.700,0.032
5.900,0.004,11.800,-0.016,11.800,0.022,11.800,0.032
5.950,0.002,11.900,-0.016,11.900,0.023,11.900,0.033
6.000,0.004,12.000,-0.015,12.000,0.024,12.000,0.032
6.050,0.004,12.100,-0.015,12.100,0.023,12.100,0.032
6.100,0.005,12.200,-0.015,12.200,0.022,12.200,0.031
6.150,0.004,12.300,-0.014,12.300,0.021,12.300,0.032
6.200,0.005,12.400,-0.013,,,12.400,0.032
6.250,0.005,12.500,-0.012,,,12.500,0.032
6.300,0.004,12.600,-0.010,,,12.600,0.031
6.350,0.004,12.700,-0.012,,,12.700,0.032
6.400,0.004,12.800,-0.012,,,12.800,0.031
6.450,0.005,12.900,-0.015,,,12.900,0.031
6.500,0.005,13.000,-0.015,,,13.000,0.031
